"Agre emen t Num
ber",Disb urse ment Date,"Loa n Am ou
nt",Numb er of Orna ments,"Gross Weight of Ornamen
ts( gm)","Au ctio n Dat
e",Auction Place,Branch Address,
"P65H GOL5 8867
37","05-
Nov- 22","101
49",1,4.7,"15-
Jan
-24",AJMER GL,,
"P65H GOL5 9146
68","09-
Nov- 22","518
3",1,5.6,"15-
Jan
-24",AJMER GL,,
"P65H GOL5 9148
81","09-
Nov- 22","276
49",4,23.65,"15-
Jan
-24",AJMER GL,,
"P65H GOL5 9565
40","14-
Nov- 22","445
43",4,18.6,"15-
Jan
-24",AJMER GL,,
"P65H GOL5 9539
59","14-
Nov- 22","246
49",1,7.3,"15-
Jan
-24",AJMER GL,,
"P65H GOL5 9592
65","14-
Nov- 22","999
49",3,59.1,"15-
Jan
-24",AJMER GL,,
"P65H GOL5 9752
79","16-
Nov- 22","321
49",1,11.16,"15-
Jan
-24",AJMER GL,,
"P65H GOL5 9847
04","17-
Nov- 22","950
37",7,35.05,"15-
Jan
-24",AJMER GL,,
"P65H GOL5 9842
92","17-
Nov- 22","170
649",9,69.95,"15-
Jan
-24",AJMER GL,,
"P65H GOL6 0054
59","19-
Nov- 22","696
49",1,19.95,"15-
Jan
-24",AJMER GL,,
"P481 GOL5 8468
08","31-
Oct- 22","571
49",3,43.7,"15-
Jan
-24",Ajmer India Motor Circle GL,"Bajaj Finance LTD.,1St Floor,India Hights Bilding, India Motor Circel, Kuchary Road,Ajmer-  305001",
"P481 GOL5 8559
25","01-
Nov- 22","301
249",5,234.5,"15-
Jan
-24",Ajmer India Motor Circle GL,,
"P481 GOL5 8542
83","01-
Nov- 22","341
49",1,12.3,"15-
Jan
-24",Ajmer India Motor Circle GL,,
"P481 GOL5 8980
12","07-
Nov- 22","191
49",3,9,"15-
Jan
-24",Ajmer India Motor Circle GL,,
"P481 GOL5 9448
60","12-
Nov- 22","155
573",3,48.58,"15-
Jan
-24",Ajmer India Motor Circle GL,,
P481 GOL5,"15-
Nov-
22","276
78",3,26.4,"15-
Jan
-24","Ajmer India Motor Circle
GL",,
"9685
89",,,,,,,,
"P481 GOL5 9703
22","15-
Nov- 22","609
31",1,19.3,"15-
Jan
-24",Ajmer India Motor Circle GL,,
"P481 GOL5 9689
22","15-
Nov- 22","316
12",3,15.69,"15-
Jan
-24",Ajmer India Motor Circle GL,,
"P481 GOL5 9680
41","15-
Nov- 22","101
49",2,3.9,"15-
Jan
-24",Ajmer India Motor Circle GL,,
"P481 GOL5 9758
28","16-
Nov- 22","591
49",2,17.56,"15-
Jan
-24",Ajmer India Motor Circle GL,,
"P481 GOL5 9746
04","16-
Nov- 22","695
49",3,70.4,"15-
Jan
-24",Ajmer India Motor Circle GL,,
"P481 GOL5 9878
79","17-
Nov- 22","976
49",6,34.2,"15-
Jan
-24",Ajmer India Motor Circle GL,,
"P481 GOL5 9923
68","18-
Nov- 22","651
49",2,23.6,"15-
Jan
-24",Ajmer India Motor Circle GL,,
"P481 GOL5 9935
38","18-
Nov- 22","531
49",1,15.3,"15-
Jan
-24",Ajmer India Motor Circle GL,,
"PI90 GOL5 8633
27","02-
Nov- 22","925
49",1,28.6,"16-
Jan
-24",Akkayyapale m Gl,"Bajaj Finance Limited.,D.no: 49-1-6/1, 1st Floor, Opp. Apollo Medicals, Lalithanagar, Akkayyapalem, Visakhapatnam - 530016.
Andhra Pradesh",
"P4O1 GOL5 8573
72","01-
Nov- 22","624
9",1,2,"15-
Jan
-24",Akluj Shankarrao Plaza GL,"Shankarrao Plaza, Ground Floor, opp. Bank of Baroda, Sadabhau Chowk, Akluj, Tal. Malshiras, Dist. Solapur, Maharashtra - 413101",
"P4O1 GOL5 9259
74","10-
Nov- 22","802
49",1,23.9,"15-
Jan
-24",Akluj Shankarrao Plaza GL,,
"P4O1 GOL5 9563
98","14-
Nov- 22","262
49",1,7.9,"15-
Jan
-24",Akluj Shankarrao Plaza GL,,
"P4O1 GOL6 0028
51","19-
Nov- 22","321
99",1,10.3,"15-
Jan
-24",Akluj Shankarrao Plaza GL,,
"P489 GOL5 8546
48","01-
Nov- 22","112
49",2,3.75,"15-
Jan
-24",AKOLA KHADAN ROAD GL,"Ground floor "" Alsi Plot Khadan road , Near Kerla Tyes infront of Cental Jail sindicamp road Akola-444001 (M.H)",
